Instance,SIB Ratio,SIB+Pivot Ratio,No.Pivot
873,0.6985714285714286,0.6814285714285714,42
874,0.6928571428571428,0.6714285714285714,40
875,0.7157142857142857,0.7014285714285714,21
876,0.6971428571428572,0.6842857142857143,34
877,0.6985714285714286,0.6785714285714286,41
878,0.7128571428571429,0.6985714285714286,36
879,0.7042857142857143,0.6885714285714286,22
880,0.7,0.68,48
881,0.7114285714285714,0.6828571428571428,47
882,0.6942857142857143,0.6814285714285714,18
883,0.7128571428571429,0.7028571428571428,42
884,0.7085714285714285,0.6785714285714286,62
885,0.72,0.7042857142857143,34
886,0.7057142857142857,0.7014285714285714,32
887,0.6885714285714286,0.6628571428571428,57
888,0.7142857142857143,0.7,48
889,0.7,0.6871428571428572,39
890,0.7057142857142857,0.6914285714285714,17
891,0.7285714285714285,0.7014285714285714,29
892,0.6985714285714286,0.68,30
893,0.7,0.7014285714285714,30
894,0.6942857142857143,0.6714285714285714,32
895,0.7,0.6828571428571428,25
896,0.7271428571428571,0.7057142857142857,43
897,0.6985714285714286,0.6757142857142857,37
898,0.7014285714285714,0.6871428571428572,40
899,0.69,0.6714285714285714,42
900,0.7028571428571428,0.6657142857142857,64
901,0.6928571428571428,0.6842857142857143,15
902,0.7271428571428571,0.7185714285714285,34
903,0.7057142857142857,0.6914285714285714,34
904,0.7242857142857143,0.6957142857142857,60
905,0.6914285714285714,0.6757142857142857,38
906,0.7171428571428572,0.7014285714285714,41
907,0.7371428571428571,0.7128571428571429,33
908,0.6857142857142857,0.67,43
909,0.7028571428571428,0.6914285714285714,36
910,0.7,0.6728571428571428,40
911,0.7257142857142858,0.7057142857142857,27
912,0.7142857142857143,0.7042857142857143,26
913,0.7085714285714285,0.7114285714285714,19
914,0.6985714285714286,0.6628571428571428,45
915,0.7071428571428572,0.6871428571428572,36
916,0.7314285714285714,0.7171428571428572,34
917,0.7085714285714285,0.6971428571428572,24
918,0.7028571428571428,0.6885714285714286,40
919,0.7114285714285714,0.6885714285714286,31
920,0.7057142857142857,0.69,55
921,0.73,0.7114285714285714,34
922,0.7128571428571429,0.6928571428571428,30
923,0.7114285714285714,0.69,20
924,0.7314285714285714,0.7185714285714285,15
925,0.6871428571428572,0.6857142857142857,21
926,0.7042857142857143,0.6885714285714286,30
927,0.7142857142857143,0.69,46
928,0.7257142857142858,0.7028571428571428,39
929,0.71,0.6957142857142857,32
930,0.7057142857142857,0.6971428571428572,20
931,0.7028571428571428,0.6914285714285714,36
932,0.7314285714285714,0.7071428571428572,48
933,0.6971428571428572,0.6757142857142857,48
934,0.7157142857142857,0.7071428571428572,19
935,0.6985714285714286,0.6771428571428572,28
936,0.71,0.7042857142857143,33
937,0.7042857142857143,0.6957142857142857,21
938,0.7114285714285714,0.6971428571428572,33
939,0.7171428571428572,0.7085714285714285,43
940,0.7114285714285714,0.6942857142857143,40
941,0.7014285714285714,0.6985714285714286,30
942,0.7142857142857143,0.6928571428571428,46
943,0.7042857142857143,0.6942857142857143,27
944,0.6971428571428572,0.6928571428571428,8
945,0.7114285714285714,0.6985714285714286,16
946,0.71,0.7028571428571428,16
947,0.7057142857142857,0.6814285714285714,68
948,0.7128571428571429,0.7028571428571428,20
949,0.7142857142857143,0.7071428571428572,22
950,0.7185714285714285,0.7014285714285714,37
951,0.6857142857142857,0.6671428571428571,26
952,0.7142857142857143,0.7028571428571428,24
953,0.7071428571428572,0.6928571428571428,32
954,0.7185714285714285,0.7,45
955,0.6928571428571428,0.6885714285714286,21
956,0.7128571428571429,0.7042857142857143,23
957,0.7014285714285714,0.69,26
958,0.7028571428571428,0.6914285714285714,33
959,0.73,0.7142857142857143,21
960,0.72,0.7171428571428572,31
961,0.71,0.6942857142857143,23
962,0.71,0.6957142857142857,26
963,0.6971428571428572,0.67,32
964,0.6971428571428572,0.6885714285714286,30
965,0.71,0.6914285714285714,29
966,0.7028571428571428,0.6928571428571428,22
967,0.7085714285714285,0.7014285714285714,28
968,0.6957142857142857,0.6757142857142857,37
969,0.7085714285714285,0.6914285714285714,29
970,0.69,0.6828571428571428,41
971,0.7014285714285714,0.6785714285714286,44
972,0.7042857142857143,0.6942857142857143,14
973,0.6942857142857143,0.68,21
974,0.6914285714285714,0.6828571428571428,33
975,0.7071428571428572,0.6871428571428572,54
976,0.7057142857142857,0.6914285714285714,32
977,0.7142857142857143,0.6871428571428572,39
978,0.6942857142857143,0.6757142857142857,42
979,0.7014285714285714,0.6957142857142857,25
980,0.7085714285714285,0.6971428571428572,22
981,0.7128571428571429,0.6885714285714286,63
982,0.7171428571428572,0.69,55
983,0.7,0.6842857142857143,39
984,0.7114285714285714,0.6671428571428571,60
985,0.7242857142857143,0.7071428571428572,22
986,0.7128571428571429,0.7085714285714285,20
987,0.6942857142857143,0.6814285714285714,47
988,0.7357142857142858,0.7257142857142858,14
989,0.7042857142857143,0.69,52
990,0.6857142857142857,0.6814285714285714,26
991,0.7071428571428572,0.69,29
992,0.7114285714285714,0.69,48
993,0.7228571428571429,0.7071428571428572,36
994,0.7071428571428572,0.69,32
995,0.7028571428571428,0.6842857142857143,32
996,0.7185714285714285,0.7071428571428572,40
997,0.7214285714285714,0.6942857142857143,41
998,0.7214285714285714,0.7071428571428572,27
999,0.6885714285714286,0.6714285714285714,32
